"","Peso.Ave.S1","Peso.Ave.S4","Peso.Ave.S10","Peso.Ave.S14","X..Uniformidad.S1","X..Uniformidad.S4","X..Uniformidad.S10","X..Uniformidad.S14","gr.ave.dia..S1","gr.ave.dia..S4","gr.ave.dia..S10","gr.ave.dia..S14","Cosm.Acum.S1","Cosm.Acum.S4","Cosm.Acum.S10","Cosm.Acum.S14","Mort.Selc.Acum.S1","Mort.Selc.Acum.S4","Mort.Selc.Acum.S10","Mort.Selc.Acum.S14","Fecha.Encaseta","Sistema.Levante","Clima.Levante","PX.S25","PX.S40","PX.S72","PX.S80","HAA.S25","HAA.S40","HAA.S72","HAA.S80","gr.ave.dia..S25","gr.ave.dia..S40","gr.ave.dia..S72","gr.ave.dia..S80","Conv.Acu.S72","Conv.Acu.S80","Mort.selcc.Acu..S25","Mort.selcc.Acu..S40","Mort.selcc.Acu..S72","Mort.selcc.Acu..S80","gr.Hvo.S72","gr.Hvo.S80","G.P.S25","Peso.Hvo..Prom.Acu..S25","Peso.Hvo..Prom.Acu..S40","Peso.Hvo..Prom.Acu..S72","Peso.Hvo..Prom.Acu..S80","Masa.Hvo.S72","Masa.Hvo.S80","Sistema.Produccion","Clima.Produccion"
"STR-371A-030718",73,315,985,1280,86.5,81.5,80.2,81.1,12.4,31.6,59.5,71,86.7,647.4,2605.1,4492.4,0.27,0.39,0.81,0.88,"2018-08-03","Batería Automática","Frío",95.2,90.9,81.4,74.7,43.9,141.9,332,373.4,105,102,109,110,1.441,1.469,0.47,1.31,4.38,5.66,120.083,122.417,7.4,50.2,55.3,58.8,59.6,19.5,22.3,"Piso","Frío"
"TRA-11009-230816",80,303,992,1295,90,82,81,83,12.4,28.4,57.7,67.5,87,542.8,2609,4441.5,0.17,0.29,0.56,0.66,"2017-01-10","Batería Ambiente","Cálido",96.5,93.7,81.6,77.2,40.9,139,329.2,371.2,112,112,110,109,1.495,1.514,0.38,2.69,4.62,5.92,124.583,126.167,12.5,50.3,56.2,59.3,59.6,19.5,22.1,"Batería Ambiente","Cálido"
"TRA-11010-1-100117",85,337,1000,1304,92,82,85,85,11.8,27.7,61.6,66.6,82.4,533.3,2626.4,4497.6,0.08,0.18,0.5,0.62,"2017-05-30","Batería Ambiente","Cálido",95.2,89.1,75.9,69.8,37.9,130.4,297,333.4,111,107,107,106,1.512,1.539,0.81,6.65,10.5,11.4,126,128.25,7.1,48.7,52.8,56.1,56.5,16.7,18.8,"Piso","Cálido"
"TRA-11010-100117",85,337,1000,1304,92,82,85,85,11.8,27.7,61.6,66.6,82.4,533.3,2626.4,4497.6,0.08,0.18,0.5,0.62,"2017-05-30","Batería Ambiente","Cálido",96.3,92.1,81.6,75.5,37.9,135.5,324.7,366.5,105,108,110,111,1.505,1.527,0.6,1.41,4.24,5.05,125.417,127.25,8.1,49.3,54.8,56.9,57.6,18.5,21.1,"Batería Ambiente","Cálido"
"TRA-11011-1-300517",81,319,1013,1298,88,83,82,83,11.8,26.6,55.9,65.6,82.7,514.7,2582,4472.4,0.1,0.23,0.6,0.78,"2017-10-16","Batería Ambiente","Cálido",95,93.1,78.5,72.9,37.7,133.9,319.2,358.7,110,111,109,109,1.53,1.552,0.9,2.44,6.02,7.58,127.5,129.333,13.1,50,55.6,59.2,0,18.9,0,"Jaula Tradicional","Cálido"
"TRA-11011-300517",81,319,1013,1298,88,83,82,83,11.8,26.6,55.9,65.6,82.7,514.7,2582,4472.4,0.1,0.23,0.6,0.78,"2017-10-16","Batería Ambiente","Cálido",95.3,93,81,78.2,36.2,133.9,323.8,366.6,112,113,109,109,1.51,1.522,0.81,1.98,4.94,5.56,125.833,126.833,29.1,48.1,54.4,57.1,57.5,18.5,21.1,"Batería Ambiente","Cálido"
"TRA-11012-161017",80,323,978,1275,87,81,82,85,10.5,24.4,55.9,65.8,73.4,490.4,2394.3,4151.9,0.47,0.6,0.94,1.06,"2018-03-05","Batería Ambiente","Cálido",94.3,90.6,80.7,72,37.6,132.9,318,358.2,105,110,110,110,1.531,1.555,0.74,1.74,4.58,5.83,127.583,129.583,20.4,50.1,54.9,58.5,59.3,18.6,21.2,"Batería Ambiente","Cálido"
"TRA-11014-1-220718",85,329,1003,1303,82.1,76.9,77,83,13.2,37.5,56.3,74.1,92.5,535.6,2485.3,4405.1,0.14,0.29,0.79,0.93,"2018-12-10","Batería Ambiente","Cálido",94.1,92,74.9,70,29.3,121.7,293.4,330,110,111,109,110,1.578,1.605,4.48,7.26,8.88,9.41,131.5,133.75,22,51,55.8,57.4,57.8,16.8,19.1,"Piso","Cálido"
"TRA-11014-220718",85,329,1003,1303,82.1,76.9,77,83,13.2,37.5,56.3,74.1,92.5,535.6,2485.3,4405.1,0.14,0.29,0.79,0.93,"2018-12-10","Batería Ambiente","Cálido",95.9,95.3,82,77.5,36.7,135.5,327,369.4,112,112,110,109,1.515,1.53,1.13,1.71,4.33,6.04,126.25,127.5,13.8,51.2,56.6,59.7,60.2,19.5,22.2,"Batería Ambiente","Cálido"
"TRA-11015-101218",85,324,929,1327,83,79,80,81,11.1,25.3,56.1,74,77.8,519,2461.7,4443.6,0.14,0.28,0.61,0.71,"2019-04-30","Batería Ambiente","Cálido",95.5,91.8,79.1,76,39.2,136.2,318.3,357.2,112,111,109,109,1.537,1.558,0.63,2.59,7.46,8.92,128.083,129.833,13.5,50.9,56.1,59.6,60.1,19,21.5,"Batería Ambiente","Cálido"
"TRA-11016-300419",75,308,931,1305,81,77,82,85,12.2,27.2,55.7,65.4,85.3,566.5,2504.8,4253.4,0.07,0.16,0.43,0.55,"2019-09-15","Batería Ambiente","Cálido",95.9,91.6,80,75.2,37.6,134.2,322.1,362.9,109,112,109,109,1.534,1.551,0.6,1.88,5.48,7.16,127.833,129.25,17.9,50,55.4,58.7,59.2,18.9,21.5,"Batería Ambiente","Cálido"
"TRA-12009-300816",78,290,983,1290,90,82,85,NA,11.9,27,59.2,72.7,83.3,529,2622.4,4480.2,0.34,0.49,0.66,0.71,"2017-01-17","Batería Ambiente","Cálido",96.7,92.9,83.9,79.4,40.9,140.3,334.1,377,106,105,109,110,1.44,1.463,0.43,1.17,3.97,5.1,120,121.917,9.6,49.5,55,58.6,59.3,19.6,22.4,"Batería Ambiente","Cálido"
"TRA-12010-170117",83,335,1022,NA,87,83,84,87,11.8,27,62.9,72,82.5,531.9,2598.9,4472,0.06,0.17,0.37,0.45,"2017-06-06","Batería Ambiente","Cálido",94.7,90.4,75.5,70.1,38.1,128.6,290.4,321.6,111,107,108,108,1.509,1.535,0.85,11.1,19.57,24.89,125.75,127.917,7.2,48.3,51.9,56.5,56.9,16.4,18.3,"Piso","Cálido"
"TRA-12011-060617",81,333,1027,1318,85,83,85,85,10.8,27.8,60.4,71.3,75.9,512.5,2543.1,4418.6,0.14,0.27,0.42,0.49,"2017-10-24","Batería Ambiente","Cálido",91.7,94,75.6,73.3,33.7,129.1,312.8,351.8,110,111,111,111,1.555,1.576,1.21,2.99,7.09,9,129.583,131.333,12.7,50.7,55.6,58.8,59.6,18.4,21,"Batería Ambiente","Cálido"
